Main,,Sukupuolet yhteensä,,,,,,,,,Miehet,,,,,,,,,Naiset,,,,,,,,
Taustamaanosa,Syntyperä,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON
,"Suomalainen, syntynyt ulkomailla",22,22,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,74,0,74,33,23,1,1,10,6,33,0,33,17,8,1,1,4,2,41,0,41,16,15,0,0,6,4
,Ensimmäisen polven ulkomaalainen,68,0,68,30,23,1,1,10,3,31,0,31,16,8,1,1,4,1,37,0,37,14,15,0,0,6,2
,Toisen polven ulkomaalainen,6,0,6,3,0,0,0,0,3,2,0,2,1,0,0,0,0,1,4,0,4,2,0,0,0,0,2
Juankoski,Väestö yhteensä,5146,5061,85,38,35,3,0,5,4,2627,2594,33,20,9,1,0,1,2,2519,2467,52,18,26,2,0,4,2
,Syntyperältään suomalainen yhteensä,5061,5061,0,0,0,0,0,0,0,2594,2594,0,0,0,0,0,0,0,2467,2467,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5049,5049,0,0,0,0,0,0,0,2589,2589,0,0,0,0,0,0,0,2460,2460,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",12,12,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,85,0,85,38,35,3,0,5,4,33,0,33,20,9,1,0,1,2,52,0,52,18,26,2,0,4,2
,Ensimmäisen polven ulkomaalainen,81,0,81,35,35,2,0,5,4,33,0,33,20,9,1,0,1,2,48,0,48,15,26,1,0,4,2
,Toisen polven ulkomaalainen,4,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,1,0,0,0
Juuka,Väestö yhteensä,5453,5367,86,22,56,0,3,3,2,2793,2762,31,12,15,0,1,1,2,2660,2605,55,10,41,0,2,2,0
,Syntyperältään suomalainen yhteensä,5367,5367,0,0,0,0,0,0,0,2762,2762,0,0,0,0,0,0,0,2605,2605,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5351,5351,0,0,0,0,0,0,0,2755,2755,0,0,0,0,0,0,0,2596,2596,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",16,16,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,86,0,86,22,56,0,3,3,2,31,0,31,12,15,0,1,1,2,55,0,55,10,41,0,2,2,0
,Ensimmäisen polven ulkomaalainen,82,0,82,21,54,0,3,3,1,29,0,29,12,14,0,1,1,1,53,0,53,9,40,0,2,2,0
,Toisen polven ulkomaalainen,4,0,4,1,2,0,0,0,1,2,0,2,0,1,0,0,0,1,2,0,2,1,1,0,0,0,0
Juupajoki,Väestö yhteensä,2046,2021,25,7,9,1,3,2,3,1045,1035,10,3,3,1,2,0,1,1001,986,15,4,6,0,1,2,2
,Syntyperältään suomalainen yhteensä,2021,2021,0,0,0,0,0,0,0,1035,1035,0,0,0,0,0,0,0,986,986,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2011,2011,0,0,0,0,0,0,0,1029,1029,0,0,0,0,0,0,0,982,982,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",10,10,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,25,0,25,7,9,1,3,2,3,10,0,10,3,3,1,2,0,1,15,0,15,4,6,0,1,2,2
,Ensimmäisen polven ulkomaalainen,24,0,24,7,9,1,3,2,2,9,0,9,3,3,1,2,0,0,15,0,15,4,6,0,1,2,2
,Toisen polven ulkomaalainen,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Juva,Väestö yhteensä,6902,6767,135,43,81,0,1,6,4,3461,3399,62,20,37,0,0,2,3,3441,3368,73,23,44,0,1,4,1
,Syntyperältään suomalainen yhteensä,6767,6767,0,0,0,0,0,0,0,3399,3399,0,0,0,0,0,0,0,3368,3368,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",6750,6750,0,0,0,0,0,0,0,3389,3389,0,0,0,0,0,0,0,3361,3361,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",17,17,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,135,0,135,43,81,0,1,6,4,62,0,62,20,37,0,0,2,3,73,0,73,23,44,0,1,4,1
,Ensimmäisen polven ulkomaalainen,121,0,121,42,69,0,1,6,3,54,0,54,19,31,0,0,2,2,67,0,67,23,38,0,1,4,1
,Toisen polven ulkomaalainen,14,0,14,1,12,0,0,0,1,8,0,8,1,6,0,0,0,1,6,0,6,0,6,0,0,0,0
Jyväskylä,Väestö yhteensä,132062,127183,4879,822,1870,501,208,1424,54,64332,61951,2381,441,825,301,110,682,22,67730,65232,2498,381,1045,200,98,742,32
,Syntyperältään suomalainen yhteensä,127183,127183,0,0,0,0,0,0,0,61951,61951,0,0,0,0,0,0,0,65232,65232,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",126002,126002,0,0,0,0,0,0,0,61336,61336,0,0,0,0,0,0,0,64666,64666,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",1181,1181,0,0,0,0,0,0,0,615,615,0,0,0,0,0,0,0,566,566,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,4879,0,4879,822,1870,501,208,1424,54,2381,0,2381,441,825,301,110,682,22,2498,0,2498,381,1045,200,98,742,32
,Ensimmäisen polven ulkomaalainen,4259,0,4259,722,1607,453,196,1244,37,2070,0,2070,393,693,278,101,593,12,2189,0,2189,329,914,175,95,651,25
,Toisen polven ulkomaalainen,620,0,620,100,263,48,12,180,17,311,0,311,48,132,23,9,89,10,309,0,309,52,131,25,3,91,7
Jämijärvi,Väestö yhteensä,2003,1986,17,11,1,0,4,1,0,1004,996,8,6,1,0,1,0,0,999,990,9,5,0,0,3,1,0
,Syntyperältään suomalainen yhteensä,1986,1986,0,0,0,0,0,0,0,996,996,0,0,0,0,0,0,0,990,990,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1982,1982,0,0,0,0,0,0,0,994,994,0,0,0,0,0,0,0,988,988,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,17,0,17,11,1,0,4,1,0,8,0,8,6,1,0,1,0,0,9,0,9,5,0,0,3,1,0
,Ensimmäisen polven ulkomaalainen,17,0,17,11,1,0,4,1,0,8,0,8,6,1,0,1,0,0,9,0,9,5,0,0,3,1,0
,Toisen polven ulkomaalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jämsä,Väestö yhteensä,22507,22205,302,86,159,7,11,31,8,11211,11093,118,40,60,6,6,4,2,11296,11112,184,46,99,1,5,27,6
,Syntyperältään suomalainen yhteensä,22205,22205,0,0,0,0,0,0,0,11093,11093,0,0,0,0,0,0,0,11112,11112,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",22085,22085,0,0,0,0,0,0,0,11030,11030,0,0,0,0,0,0,0,11055,11055,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",120,120,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,302,0,302,86,159,7,11,31,8,118,0,118,40,60,6,6,4,2,184,0,184,46,99,1,5,27,6
,Ensimmäisen polven ulkomaalainen,276,0,276,80,146,7,11,31,1,105,0,105,35,54,6,6,4,0,171,0,171,45,92,1,5,27,1
,Toisen polven ulkomaalainen,26,0,26,6,13,0,0,0,7,13,0,13,5,6,0,0,0,2,13,0,13,1,7,0,0,0,5
Järvenpää - Träskända,Väestö yhteensä,38966,37636,1330,395,335,170,69,312,49,18963,18303,660,211,140,106,35,141,27,20003,19333,670,184,195,64,34,171,22
,Syntyperältään suomalainen yhteensä,37636,37636,0,0,0,0,0,0,0,18303,18303,0,0,0,0,0,0,0,19333,19333,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",37301,37301,0,0,0,0,0,0,0,18120,18120,0,0,0,0,0,0,0,19181,19181,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",335,335,0,0,0,0,0,0,0,183,183,0,0,0,0,0,0,0,152,152,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,1330,0,1330,395,335,170,69,312,49,660,0,660,211,140,106,35,141,27,670,0,670,184,195,64,34,171,22
,Ensimmäisen polven ulkomaalainen,1122,0,1122,364,283,133,66,250,26,550,0,550,194,115,84,33,107,17,572,0,572,170,168,49,33,143,9
,Toisen polven ulkomaalainen,208,0,208,31,52,37,3,62,23,110,0,110,17,25,22,2,34,10,98,0,98,14,27,15,1,28,13
Kaarina - S:t Karins,Väestö yhteensä,31081,30129,952,209,373,41,30,282,17,15173,14695,478,113,188,27,17,125,8,15908,15434,474,96,185,14,13,157,9
,Syntyperältään suomalainen yhteensä,30129,30129,0,0,0,0,0,0,0,14695,14695,0,0,0,0,0,0,0,15434,15434,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",29862,29862,0,0,0,0,0,0,0,14544,14544,0,0,0,0,0,0,0,15318,15318,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",267,267,0,0,0,0,0,0,0,151,151,0,0,0,0,0,0,0,116,116,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,952,0,952,209,373,41,30,282,17,478,0,478,113,188,27,17,125,8,474,0,474,96,185,14,13,157,9
,Ensimmäisen polven ulkomaalainen,784,0,784,189,296,37,28,221,13,393,0,393,104,140,25,16,101,7,391,0,391,85,156,12,12,120,6
,Toisen polven ulkomaalainen,168,0,168,20,77,4,2,61,4,85,0,85,9,48,2,1,24,1,83,0,83,11,29,2,1,37,3
Kaavi,Väestö yhteensä,3385,3356,29,16,9,2,0,0,2,1702,1687,15,10,2,1,0,0,2,1683,1669,14,6,7,1,0,0,0
,Syntyperältään suomalainen yhteensä,3356,3356,0,0,0,0,0,0,0,1687,1687,0,0,0,0,0,0,0,1669,1669,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",3338,3338,0,0,0,0,0,0,0,1679,1679,0,0,0,0,0,0,0,1659,1659,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",18,18,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,29,0,29,16,9,2,0,0,2,15,0,15,10,2,1,0,0,2,14,0,14,6,7,1,0,0,0
,Ensimmäisen polven ulkomaalainen,29,0,29,16,9,2,0,0,2,15,0,15,10,2,1,0,0,2,14,0,14,6,7,1,0,0,0
,Toisen polven ulkomaalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajaani - Kajana,Väestö yhteensä,38045,36922,1123,71,417,311,21,280,23,18688,18146,542,52,147,161,9,157,16,19357,18776,581,19,270,150,12,123,7
,Syntyperältään suomalainen yhteensä,36922,36922,0,0,0,0,0,0,0,18146,18146,0,0,0,0,0,0,0,18776,18776,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",36737,36737,0,0,0,0,0,0,0,18052,18052,0,0,0,0,0,0,0,18685,18685,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",185,185,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,1123,0,1123,71,417,311,21,280,23,542,0,542,52,147,161,9,157,16,581,0,581,19,270,150,12,123,7
,Ensimmäisen polven ulkomaalainen,1004,0,1004,63,387,281,16,257,0,475,0,475,46,133,148,6,142,0,529,0,529,17,254,133,10,115,0
,Toisen polven ulkomaalainen,119,0,119,8,30,30,5,23,23,67,0,67,6,14,13,3,15,16,52,0,52,2,16,17,2,8,7
Kalajoki,Väestö yhteensä,12616,12419,197,118,37,1,2,31,8,6417,6327,90,71,11,1,1,1,5,6199,6092,107,47,26,0,1,30,3
,Syntyperältään suomalainen yhteensä,12419,12419,0,0,0,0,0,0,0,6327,6327,0,0,0,0,0,0,0,6092,6092,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",12310,12310,0,0,0,0,0,0,0,6269,6269,0,0,0,0,0,0,0,6041,6041,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",109,109,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,197,0,197,118,37,1,2,31,8,90,0,90,71,11,1,1,1,5,107,0,107,47,26,0,1,30,3
,Ensimmäisen polven ulkomaalainen,185,0,185,113,36,1,2,31,2,84,0,84,69,10,1,1,1,2,101,0,101,44,26,0,1,30,0
,Toisen polven ulkomaalainen,12,0,12,5,1,0,0,0,6,6,0,6,2,1,0,0,0,3,6,0,6,3,0,0,0,0,3
Kangasala,Väestö yhteensä,29891,29421,470,193,109,12,20,115,21,14791,14568,223,97,50,6,11,52,7,15100,14853,247,96,59,6,9,63,14
,Syntyperältään suomalainen yhteensä,29421,29421,0,0,0,0,0,0,0,14568,14568,0,0,0,0,0,0,0,14853,14853,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",29202,29202,0,0,0,0,0,0,0,14452,14452,0,0,0,0,0,0,0,14750,14750,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",219,219,0,0,0,0,0,0,0,116,116,0,0,0,0,0,0,0,103,103,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,470,0,470,193,109,12,20,115,21,223,0,223,97,50,6,11,52,7,247,0,247,96,59,6,9,63,14
,Ensimmäisen polven ulkomaalainen,395,0,395,172,93,11,20,89,10,180,0,180,86,37,6,11,38,2,215,0,215,86,56,5,9,51,8
,Toisen polven ulkomaalainen,75,0,75,21,16,1,0,26,11,43,0,43,11,13,0,0,14,5,32,0,32,10,3,1,0,12,6
Kangasniemi,Väestö yhteensä,5865,5798,67,12,43,0,4,5,3,2949,2921,28,9,15,0,2,1,1,2916,2877,39,3,28,0,2,4,2
,Syntyperältään suomalainen yhteensä,5798,5798,0,0,0,0,0,0,0,2921,2921,0,0,0,0,0,0,0,2877,2877,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5776,5776,0,0,0,0,0,0,0,2911,2911,0,0,0,0,0,0,0,2865,2865,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",22,22,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,67,0,67,12,43,0,4,5,3,28,0,28,9,15,0,2,1,1,39,0,39,3,28,0,2,4,2
,Ensimmäisen polven ulkomaalainen,61,0,61,12,39,0,2,5,3,26,0,26,9,14,0,1,1,1,35,0,35,3,25,0,1,4,2
,Toisen polven ulkomaalainen,6,0,6,0,4,0,2,0,0,2,0,2,0,1,0,1,0,0,4,0,4,0,3,0,1,0,0
Kankaanpää,Väestö yhteensä,12078,11880,198,97,67,4,10,14,6,5947,5840,107,54,39,2,4,6,2,6131,6040,91,43,28,2,6,8,4
,Syntyperältään suomalainen yhteensä,11880,11880,0,0,0,0,0,0,0,5840,5840,0,0,0,0,0,0,0,6040,6040,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",11829,11829,0,0,0,0,0,0,0,5815,5815,0,0,0,0,0,0,0,6014,6014,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",51,51,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,198,0,198,97,67,4,10,14,6,107,0,107,54,39,2,4,6,2,91,0,91,43,28,2,6,8,4
,Ensimmäisen polven ulkomaalainen,175,0,175,88,61,4,9,12,1,94,0,94,51,34,2,3,4,0,81,0,81,37,27,2,6,8,1
,Toisen polven ulkomaalainen,23,0,23,9,6,0,1,2,5,13,0,13,3,5,0,1,2,2,10,0,10,6,1,0,0,0,3
Kannonkoski,Väestö yhteensä,1544,1529,15,4,4,1,2,4,0,788,781,7,3,1,1,1,1,0,756,748,8,1,3,0,1,3,0
,Syntyperältään suomalainen yhteensä,1529,1529,0,0,0,0,0,0,0,781,781,0,0,0,0,0,0,0,748,748,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1520,1520,0,0,0,0,0,0,0,774,774,0,0,0,0,0,0,0,746,746,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",9,9,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,15,0,15,4,4,1,2,4,0,7,0,7,3,1,1,1,1,0,8,0,8,1,3,0,1,3,0
,Ensimmäisen polven ulkomaalainen,15,0,15,4,4,1,2,4,0,7,0,7,3,1,1,1,1,0,8,0,8,1,3,0,1,3,0
,Toisen polven ulkomaalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kannus,Väestö yhteensä,5697,5641,56,22,25,2,3,4,0,2804,2772,32,16,13,1,2,0,0,2893,2869,24,6,12,1,1,4,0
,Syntyperältään suomalainen yhteensä,5641,5641,0,0,0,0,0,0,0,2772,2772,0,0,0,0,0,0,0,2869,2869,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5587,5587,0,0,0,0,0,0,0,2740,2740,0,0,0,0,0,0,0,2847,2847,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",54,54,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,56,0,56,22,25,2,3,4,0,32,0,32,16,13,1,2,0,0,24,0,24,6,12,1,1,4,0
,Ensimmäisen polven ulkomaalainen,45,0,45,17,21,2,1,4,0,24,0,24,13,10,1,0,0,0,21,0,21,4,11,1,1,4,0
,Toisen polven ulkomaalainen,11,0,11,5,4,0,2,0,0,8,0,8,3,3,0,2,0,0,3,0,3,2,1,0,0,0,0
Karijoki - Bötom,Väestö yhteensä,1527,1510,17,11,3,0,0,2,1,785,780,5,3,0,0,0,1,1,742,730,12,8,3,0,0,1,0
,Syntyperältään suomalainen yhteensä,1510,1510,0,0,0,0,0,0,0,780,780,0,0,0,0,0,0,0,730,730,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1494,1494,0,0,0,0,0,0,0,768,768,0,0,0,0,0,0,0,726,726,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",16,16,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,17,0,17,11,3,0,0,2,1,5,0,5,3,0,0,0,1,1,12,0,12,8,3,0,0,1,0
,Ensimmäisen polven ulkomaalainen,15,0,15,11,1,0,0,2,1,5,0,5,3,0,0,0,1,1,10,0,10,8,1,0,0,1,0
,Toisen polven ulkomaalainen,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0
Karjalohja - Karislojo,Väestö yhteensä,1492,1450,42,19,19,1,0,3,0,741,724,17,8,6,1,0,2,0,751,726,25,11,13,0,0,1,0
,Syntyperältään suomalainen yhteensä,1450,1450,0,0,0,0,0,0,0,724,724,0,0,0,0,0,0,0,726,726,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1443,1443,0,0,0,0,0,0,0,722,722,0,0,0,0,0,0,0,721,721,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",7,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,42,0,42,19,19,1,0,3,0,17,0,17,8,6,1,0,2,0,25,0,25,11,13,0,0,1,0
,Ensimmäisen polven ulkomaalainen,39,0,39,19,17,1,0,2,0,15,0,15,8,5,1,0,1,0,24,0,24,11,12,0,0,1,0
,Toisen polven ulkomaalainen,3,0,3,0,2,0,0,1,0,2,0,2,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Karkkila - Högfors,Väestö yhteensä,9190,8801,389,175,163,7,6,30,8,4541,4336,205,95,84,5,4,12,5,4649,4465,184,80,79,2,2,18,3
,Syntyperältään suomalainen yhteensä,8801,8801,0,0,0,0,0,0,0,4336,4336,0,0,0,0,0,0,0,4465,4465,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",8748,8748,0,0,0,0,0,0,0,4304,4304,0,0,0,0,0,0,0,4444,4444,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",53,53,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,389,0,389,175,163,7,6,30,8,205,0,205,95,84,5,4,12,5,184,0,184,80,79,2,2,18,3
,Ensimmäisen polven ulkomaalainen,357,0,357,162,151,7,6,25,6,190,0,190,88,79,5,4,11,3,167,0,167,74,72,2,2,14,3
,Toisen polven ulkomaalainen,32,0,32,13,12,0,0,5,2,15,0,15,7,5,0,0,1,2,17,0,17,6,7,0,0,4,0
Karstula,Väestö yhteensä,4462,4418,44,10,18,1,2,5,8,2246,2229,17,5,6,1,0,1,4,2216,2189,27,5,12,0,2,4,4
,Syntyperältään suomalainen yhteensä,4418,4418,0,0,0,0,0,0,0,2229,2229,0,0,0,0,0,0,0,2189,2189,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",4381,4381,0,0,0,0,0,0,0,2209,2209,0,0,0,0,0,0,0,2172,2172,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",37,37,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,44,0,44,10,18,1,2,5,8,17,0,17,5,6,1,0,1,4,27,0,27,5,12,0,2,4,4
,Ensimmäisen polven ulkomaalainen,38,0,38,10,16,1,1,5,5,13,0,13,5,5,1,0,1,1,25,0,25,5,11,0,1,4,4
,Toisen polven ulkomaalainen,6,0,6,0,2,0,1,0,3,4,0,4,0,1,0,0,0,3,2,0,2,0,1,0,1,0,0
Karvia,Väestö yhteensä,2599,2544,55,41,7,1,4,2,0,1347,1325,22,19,2,0,0,1,0,1252,1219,33,22,5,1,4,1,0
,Syntyperältään suomalainen yhteensä,2544,2544,0,0,0,0,0,0,0,1325,1325,0,0,0,0,0,0,0,1219,1219,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2536,2536,0,0,0,0,0,0,0,1321,1321,0,0,0,0,0,0,0,1215,1215,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",8,8,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,55,0,55,41,7,1,4,2,0,22,0,22,19,2,0,0,1,0,33,0,33,22,5,1,4,1,0
,Ensimmäisen polven ulkomaalainen,47,0,47,33,7,1,4,2,0,20,0,20,17,2,0,0,1,0,27,0,27,16,5,1,4,1,0
,Toisen polven ulkomaalainen,8,0,8,8,0,0,0,0,0,2,0,2,2,0,0,0,0,0,6,0,6,6,0,0,0,0,0
Kaskinen - Kaskö,Väestö yhteensä,1404,1308,96,29,51,0,2,11,3,716,666,50,17,28,0,1,3,1,688,642,46,12,23,0,1,8,2
,Syntyperältään suomalainen yhteensä,1308,1308,0,0,0,0,0,0,0,666,666,0,0,0,0,0,0,0,642,642,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1281,1281,0,0,0,0,0,0,0,652,652,0,0,0,0,0,0,0,629,629,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",27,27,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,96,0,96,29,51,0,2,11,3,50,0,50,17,28,0,1,3,1,46,0,46,12,23,0,1,8,2
,Ensimmäisen polven ulkomaalainen,83,0,83,28,41,0,2,11,1,43,0,43,16,23,0,1,3,0,40,0,40,12,18,0,1,8,1
,Toisen polven ulkomaalainen,13,0,13,1,10,0,0,0,2,7,0,7,1,5,0,0,0,1,6,0,6,0,5,0,0,0,1
Kauhajoki,Väestö yhteensä,14191,13961,230,126,57,4,6,24,13,7108,6982,126,72,29,4,3,12,6,7083,6979,104,54,28,0,3,12,7
,Syntyperältään suomalainen yhteensä,13961,13961,0,0,0,0,0,0,0,6982,6982,0,0,0,0,0,0,0,6979,6979,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",13796,13796,0,0,0,0,0,0,0,6897,6897,0,0,0,0,0,0,0,6899,6899,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",165,165,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,230,0,230,126,57,4,6,24,13,126,0,126,72,29,4,3,12,6,104,0,104,54,28,0,3,12,7
,Ensimmäisen polven ulkomaalainen,193,0,193,97,52,4,6,24,10,106,0,106,58,25,4,3,12,4,87,0,87,39,27,0,3,12,6
,Toisen polven ulkomaalainen,37,0,37,29,5,0,0,0,3,20,0,20,14,4,0,0,0,2,17,0,17,15,1,0,0,0,1
Kauhava,Väestö yhteensä,17265,16962,303,146,108,2,14,17,16,8645,8490,155,84,53,2,7,3,6,8620,8472,148,62,55,0,7,14,10
,Syntyperältään suomalainen yhteensä,16962,16962,0,0,0,0,0,0,0,8490,8490,0,0,0,0,0,0,0,8472,8472,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",16856,16856,0,0,0,0,0,0,0,8435,8435,0,0,0,0,0,0,0,8421,8421,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",106,106,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,303,0,303,146,108,2,14,17,16,155,0,155,84,53,2,7,3,6,148,0,148,62,55,0,7,14,10
,Ensimmäisen polven ulkomaalainen,278,0,278,141,101,2,10,17,7,140,0,140,81,48,2,4,3,2,138,0,138,60,53,0,6,14,5
,Toisen polven ulkomaalainen,25,0,25,5,7,0,4,0,9,15,0,15,3,5,0,3,0,4,10,0,10,2,2,0,1,0,5
