Main,,Sukupuolet yhteensä,,,,,,,,,Miehet,,,,,,,,,Naiset,,,,,,,,
Taustamaanosa,Syntyperä,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON
Asikkala,Väestö yhteensä,8498,8371,127,64,46,4,1,9,3,4217,4145,72,40,27,2,1,2,0,4281,4226,55,24,19,2,0,7,3
,Syntyperältään suomalainen yhteensä,8371,8371,0,0,0,0,0,0,0,4145,4145,0,0,0,0,0,0,0,4226,4226,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",8335,8335,0,0,0,0,0,0,0,4125,4125,0,0,0,0,0,0,0,4210,4210,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",36,36,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,127,0,127,64,46,4,1,9,3,72,0,72,40,27,2,1,2,0,55,0,55,24,19,2,0,7,3
,Ensimmäisen polven ulkomaalainen,117,0,117,61,41,4,0,8,3,63,0,63,38,22,2,0,1,0,54,0,54,23,19,2,0,7,3
,Toisen polven ulkomaalainen,10,0,10,3,5,0,1,1,0,9,0,9,2,5,0,1,1,0,1,0,1,1,0,0,0,0,0
Askola,Väestö yhteensä,4911,4815,96,23,30,0,3,38,2,2482,2448,34,9,12,0,2,10,1,2429,2367,62,14,18,0,1,28,1
,Syntyperältään suomalainen yhteensä,4815,4815,0,0,0,0,0,0,0,2448,2448,0,0,0,0,0,0,0,2367,2367,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",4796,4796,0,0,0,0,0,0,0,2438,2438,0,0,0,0,0,0,0,2358,2358,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",19,19,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,96,0,96,23,30,0,3,38,2,34,0,34,9,12,0,2,10,1,62,0,62,14,18,0,1,28,1
,Ensimmäisen polven ulkomaalainen,86,0,86,22,29,0,3,30,2,30,0,30,9,11,0,2,7,1,56,0,56,13,18,0,1,23,1
,Toisen polven ulkomaalainen,10,0,10,1,1,0,0,8,0,4,0,4,0,1,0,0,3,0,6,0,6,1,0,0,0,5,0
Aura,Väestö yhteensä,3975,3901,74,42,20,1,2,6,3,1946,1910,36,21,12,0,2,0,1,2029,1991,38,21,8,1,0,6,2
,Syntyperältään suomalainen yhteensä,3901,3901,0,0,0,0,0,0,0,1910,1910,0,0,0,0,0,0,0,1991,1991,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",3882,3882,0,0,0,0,0,0,0,1906,1906,0,0,0,0,0,0,0,1976,1976,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",19,19,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,74,0,74,42,20,1,2,6,3,36,0,36,21,12,0,2,0,1,38,0,38,21,8,1,0,6,2
,Ensimmäisen polven ulkomaalainen,62,0,62,36,16,1,2,6,1,30,0,30,18,9,0,2,0,1,32,0,32,18,7,1,0,6,0
,Toisen polven ulkomaalainen,12,0,12,6,4,0,0,0,2,6,0,6,3,3,0,0,0,0,6,0,6,3,1,0,0,0,2
Brändö,Väestö yhteensä,480,447,33,30,1,0,1,1,0,260,247,13,13,0,0,0,0,0,220,200,20,17,1,0,1,1,0
,Syntyperältään suomalainen yhteensä,447,447,0,0,0,0,0,0,0,247,247,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",437,437,0,0,0,0,0,0,0,240,240,0,0,0,0,0,0,0,197,197,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",10,10,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,33,0,33,30,1,0,1,1,0,13,0,13,13,0,0,0,0,0,20,0,20,17,1,0,1,1,0
,Ensimmäisen polven ulkomaalainen,32,0,32,29,1,0,1,1,0,13,0,13,13,0,0,0,0,0,19,0,19,16,1,0,1,1,0
,Toisen polven ulkomaalainen,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Eckerö,Väestö yhteensä,978,822,156,131,11,1,3,5,5,506,428,78,67,6,1,0,3,1,472,394,78,64,5,0,3,2,4
,Syntyperältään suomalainen yhteensä,822,822,0,0,0,0,0,0,0,428,428,0,0,0,0,0,0,0,394,394,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",771,771,0,0,0,0,0,0,0,405,405,0,0,0,0,0,0,0,366,366,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",51,51,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,156,0,156,131,11,1,3,5,5,78,0,78,67,6,1,0,3,1,78,0,78,64,5,0,3,2,4
,Ensimmäisen polven ulkomaalainen,141,0,141,117,10,1,3,5,5,72,0,72,62,5,1,0,3,1,69,0,69,55,5,0,3,2,4
,Toisen polven ulkomaalainen,15,0,15,14,1,0,0,0,0,6,0,6,5,1,0,0,0,0,9,0,9,9,0,0,0,0,0
Enonkoski,Väestö yhteensä,1566,1531,35,2,24,0,2,3,4,791,775,16,2,13,0,0,0,1,775,756,19,0,11,0,2,3,3
,Syntyperältään suomalainen yhteensä,1531,1531,0,0,0,0,0,0,0,775,775,0,0,0,0,0,0,0,756,756,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1529,1529,0,0,0,0,0,0,0,775,775,0,0,0,0,0,0,0,754,754,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,35,0,35,2,24,0,2,3,4,16,0,16,2,13,0,0,0,1,19,0,19,0,11,0,2,3,3
,Ensimmäisen polven ulkomaalainen,30,0,30,2,21,0,2,3,2,12,0,12,2,10,0,0,0,0,18,0,18,0,11,0,2,3,2
,Toisen polven ulkomaalainen,5,0,5,0,3,0,0,0,2,4,0,4,0,3,0,0,0,1,1,0,1,0,0,0,0,0,1
Enontekiö - Enontekis,Väestö yhteensä,1893,1849,44,15,15,0,0,2,12,1006,989,17,9,1,0,0,2,5,887,860,27,6,14,0,0,0,7
,Syntyperältään suomalainen yhteensä,1849,1849,0,0,0,0,0,0,0,989,989,0,0,0,0,0,0,0,860,860,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1810,1810,0,0,0,0,0,0,0,958,958,0,0,0,0,0,0,0,852,852,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",39,39,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
